ID,Size
ADN-213 , 3695194131
ADN-249 , 4616222750
ADN-195 , 4422067608
ADN-209 , 3388670148
ADN-252 , 5017290304
ADN-096 , 4759845000
ADN-260 , 5303953892
ADN-250 , 5212746519
ADN-043 , 3257404498
ADN-128 , 1191908959
ADN-159 , 2732488155
SSNI-324 , 3788844613
SSNI-740 , 5176067940
SSNI-713 , 1258154938
SSNI-412 , 1981054093
SSNI-652 , 5145836582
SSNI-667 , 7029385326
SSNI-631 , 6795253112
SSNI-204 , 5351155714
SSNI-414 , 5076753642
SSNI-387 , 6731608650
SSNI-054 , 5198437010
SSNI-381 , 7964515671
SSNI-411 , 1349812116
SSNI-382 , 5147685720
SSNI-383 , 6126499072
SSNI-152 , 7350687385
SSNI-697 , 5382876099
SSNI-666 , 5119187771
SSNI-670 , 6030848393
SSNI-692 , 5220998879
SSNI-684 , 6798159784
SSNI-678 , 5162364535
SSNI-682 , 7234582400
SSNI-685 , 6865820957
SSNI-683 , 6635897309
SSNI-694 , 6699513027
SSNI-672 , 6943814077
SSNI-699 , 6691161284
SSNI-687 , 6612873159
SSNI-688 , 7834556789
SSNI-696 , 5199919187
SSNI-693 , 5380653292
SSNI-698 , 5354103688
SSNI-664 , 5179823688
SSNI-663 , 5088049859
SSNI-695 , 4955712785
SSNI-671 , 5384463869
SSNI-659 , 5200215613
SSNI-651 , 5357389406
SSNI-662 , 5299451009
SSNI-656 , 6722196986
SSNI-654 , 5381451095
SSNI-650 , 5344766592
SSNI-646 , 7876438700
SSNI-645 , 5463052182
SSNI-643 , 5527722485
SSNI-648 , 5144846449
SSNI-653 , 10218405021
SSNI-655 , 5612474361
SSNI-661 , 4950624253
SSNI-668 , 6688375308
SSNI-691 , 6803480680
SSNI-649 , 6704274724
SSNI-686 , 5833359067
SSNI-673 , 8343236937
SSNI-690 , 6746523264
SSNI-665 , 7258275077
SSNI-680 , 6747276464
SSNI-644 , 7392258854
SSNI-657 , 6263464245
SSNI-669 , 6770092939
SSNI-660 , 5140347129
SSNI-675 , 5112150212
SSNI-679 , 5222523446
SSNI-641 , 5069385715
SSNI-639 , 6367378644
SSNI-634 , 7535468688
SSNI-642 , 6386521643
SSNI-621 , 5585124967
SSNI-622 , 5305190922
SSNI-624 , 5524171406
SSNI-629 , 5641832190
SSNI-630 , 5538669918
SSNI-625 , 7057052318
SSNI-633 , 5076757103
SSNI-637 , 7015473880
SSNI-638 , 7000219217
SSNI-632 , 5333514087
SSNI-640 , 1361021465
SSNI-636 , 5220039787
SSNI-627 , 5559986704
SSNI-619 , 5458147817
SSNI-616 , 5342926207
SSNI-612 , 6422302337
SSNI-600 , 5113913970
SSNI-615 , 5554457323
SSNI-598 , 5041986418
SSNI-595 , 7665530991
SSNI-605 , 6359562300
SSNI-589 , 6658839850
SSNI-590 , 5317711467
SSNI-592 , 7249614456
SSNI-583 , 6994680091
SSNI-587 , 5817607216
SSNI-584 , 6841643841
SSNI-582 , 6760991046
SSNI-574 , 5268256020
SSNI-578 , 5353784045
SSNI-596 , 6944716468
SSNI-579 , 6497502378
SSNI-608 , 5514906009
SSNI-581 , 6720825094
SSNI-593 , 6801342591
SSNI-575 , 7554728218
SSNI-585 , 7118878771
SSNI-610 , 5510743587
SSNI-586 , 6609062024
SSNI-594 , 5059898046
SSNI-604 , 6228616404
SSNI-588 , 7286020753
SSNI-601 , 5544761133
SSNI-647 , 5180752905
SSNI-603 , 4719799721
SSNI-620 , 5543627610
SSNI-611 , 5550299175
SSNI-617 , 6953581835
SSNI-635 , 5159720607
SSNI-623 , 5537119699
SSNI-602 , 6634459257
SSNI-626 , 8720794831
SSNI-628 , 6307393995
SSNI-576 , 6690556074
SSNI-580 , 5325187795
SSNI-573 , 5162764719
SSNI-609 , 5281963012
SSNI-607 , 6688724196
SSNI-606 , 5476232494
SSNI-577 , 7583266870
SSNI-614 , 7122564363
SSNI-613 , 6953700909
SSNI-489 , 744126063
SSNI-570 , 6757871267
SSNI-597 , 5039619581
SSNI-494 , 575765025
SSNI-468 , 770377379
SSNI-572 , 7770858797
SSNI-487 , 5314486784
SSNI-591 , 8086450038
SSNI-480 , 675831131
SSNI-443 , 1323073975
SSNI-472 , 874541415
SSNI-348 , 6570972133
SSNI-283 , 6529382438
SSNI-404 , 6319571813
SSNI-401 , 6428255687
SSNI-402 , 6123718690
SSNI-405 , 5000533244
SSNI-403 , 5009679684
SSNI-408 , 677374618
SSNI-407 , 5070610939
SSNI-410 , 5542692817
SSNI-416 , 7168827753
SSNI-420 , 12732612868
SSNI-425 , 5325748548
SSNI-418 , 3982544666
SSNI-426 , 5020428607
SSNI-423 , 3828288924
SSNI-429 , 6742655996
SSNI-428 , 5479675528
SSNI-431 , 16731634542
SSNI-433 , 5317117979
SSNI-432 , 7947093245
SSNI-434 , 6707039802
SSNI-436 , 7363611060
SSNI-435 , 6638403836
SSNI-438 , 6662189162
SSNI-437 , 5165270234
SSNI-439 , 6166717836
SSNI-440 , 6784557455
SSNI-441 , 5042744310
SSNI-442 , 5079953007
SSNI-444 , 1658151032
SSNI-450 , 7650599201
SSNI-449 , 6819462973
SSNI-454 , 1229971469
SSNI-451 , 4671437830
SSNI-447 , 7681601141
SSNI-453 , 5022744628
SSNI-452 , 1652722543
SSNI-455 , 4994656104
SSNI-457 , 4950545079
SSNI-459 , 5113108652
SSNI-458 , 6231468864
SSNI-460 , 5388408687
SSNI-461 , 2357434939
SSNI-462 , 5366609273
SSNI-465 , 5928498767
SSNI-466 , 6133214459
SSNI-464 , 4955464081
SSNI-463 , 6706768032
SSNI-467 , 5075105772
SSNI-469 , 4977780180
SSNI-471 , 5238511350
SSNI-473 , 4935585835
SSNI-475 , 5146074629
SSNI-477 , 5261031428
SSNI-478 , 7535481441
SSNI-483 , 6752530650
SSNI-479 , 7039703251
SSNI-481 , 5660238845
SSNI-482 , 5352806513
SSNI-484 , 7359690289
SSNI-486 , 6325907393
SSNI-492 , 6358519322
SSNI-491 , 5550923440
SSNI-493 , 7353532306
SSNI-495 , 6769769502
SSNI-496 , 4913900349
SSNI-499 , 584144825
SSNI-202 , 7967203646
SSNI-500 , 6338795560
SSNI-201 , 6446795938
SSNI-203 , 7967365937
SSNI-205 , 8035590127
SSNI-206 , 5314541146
SSNI-208 , 6729355719
SSNI-207 , 6868945066
SSNI-212 , 6965893624
SSNI-209 , 7333024191
SSNI-211 , 729201014
SSNI-218 , 5331467249
SSNI-215 , 7387326826
SSNI-216 , 10744130668
SSNI-219 , 6748581079
SSNI-220 , 6125057998
SSNI-222 , 8045147650
SSNI-221 , 6674939903
SSNI-225 , 5406297787
SSNI-229 , 7043051927
SSNI-228 , 6983094519
SSNI-231 , 1840135994
SSNI-236 , 5353974998
SSNI-232 , 6683113475
SSNI-237 , 5357485939
SSNI-238 , 6616869359
SSNI-239 , 6271022843
SSNI-241 , 5305174641
SSNI-240 , 6141269179
SSNI-242 , 7184324799
SSNI-244 , 5325183618
SSNI-243 , 8709321794
SSNI-245 , 6887988800
SSNI-246 , 7161706296
SSNI-247 , 6721655335
SSNI-248 , 6632672190
SSNI-249 , 5334530357
SSNI-254 , 5211090551
SSNI-253 , 6583396615
SSNI-250 , 5346517096
SSNI-251 , 5295824256
SSNI-252 , 6640795972
SSNI-255 , 6674653485
SSNI-256 , 7186764773
SSNI-257 , 5312499811
SSNI-261 , 2241890934
SSNI-259 , 7457361801
SSNI-260 , 7051587106
SSNI-263 , 5273893622
SSNI-262 , 7584232336
SSNI-264 , 5375544562
SSNI-266 , 6385855684
SSNI-265 , 5285773054
SSNI-268 , 6751281779
SSNI-269 , 6649844900
SSNI-270 , 7549362209
SSNI-272 , 7460184703
SSNI-271 , 7213044698
SSNI-273 , 754345364
SSNI-274 , 1115138625
SSNI-275 , 5360324747
SSNI-278 , 7859955514
SSNI-277 , 6623466254
SSNI-276 , 6183128711
SSNI-279 , 5312819102
SSNI-280 , 6904875633
SSNI-281 , 5283955798
SSNI-282 , 5378890743
SSNI-284 , 6898861246
SSNI-285 , 6182747782
SSNI-287 , 582832385
SSNI-288 , 7615324492
SSNI-290 , 7827161697
SSNI-289 , 6157844817
SSNI-291 , 8030461045
SSNI-293 , 5027641695
SSNI-292 , 7529791357
SSNI-294 , 4932695933
SSNI-296 , 6184356604
SSNI-295 , 6252488020
SSNI-298 , 6848853386
SSNI-299 , 5908684450
SSNI-300 , 5381166000
SSNI-297 , 6837311506
SSNI-301 , 6907184975
SSNI-302 , 5266912737
SSNI-303 , 5018021302
SSNI-304 , 5306642745
SSNI-305 , 6472096886
SSNI-306 , 7160539466
SSNI-308 , 5314323098
SSNI-307 , 5224199164
SSNI-309 , 8140571897
SSNI-311 , 10257219693
SSNI-310 , 6246129890
SSNI-312 , 5096078582
SSNI-313 , 5070511693
SSNI-314 , 5140168437
SSNI-315 , 5088863243
SSNI-316 , 5104523027
SSNI-317 , 8485043589
SSNI-318 , 5154559665
SSNI-319 , 7500558331
SSNI-320 , 6689152121
SSNI-325 , 6515619991
SSNI-321 , 6982318911
SSNI-326 , 8021673151
SSNI-327 , 5325057422
SSNI-328 , 6608783670
SSNI-329 , 5281396343
SSNI-331 , 6088906816
SSNI-330 , 5071448964
SSNI-332 , 7346230405
SSNI-333 , 10273796434
SSNI-335 , 6328483347
SSNI-334 , 8043896112
SSNI-336 , 5033546414
SSNI-337 , 5211495841
SSNI-339 , 5479857276
SSNI-338 , 5111665503
SSNI-341 , 5358591766
SSNI-340 , 5105009460
SSNI-342 , 6692100980
SSNI-343 , 7153277538
SSNI-344 , 6362869608
SSNI-345 , 5065579140
SSNI-347 , 5465461946
SSNI-346 , 7192981768
SSNI-349 , 7151957562
SSNI-351 , 5016055411
SSNI-350 , 5312124258
SSNI-353 , 6442860379
SSNI-352 , 5872526044
SSNI-354 , 6460600597
SSNI-355 , 6330371586
SSNI-358 , 5146906495
SSNI-357 , 10082127481
SSNI-356 , 8355038691
SSNI-359 , 5392137707
SSNI-360 , 6426214857
SSNI-361 , 6313680355
SSNI-362 , 5072877340
SSNI-363 , 5062482588
SSNI-364 , 6128238851
SSNI-365 , 6642419656
SSNI-366 , 5081092023
SSNI-367 , 5055047411
SSNI-368 , 6136198093
SSNI-369 , 6952225916
SSNI-370 , 6688891948
SSNI-371 , 6169420370
SSNI-372 , 6477882426
SSNI-374 , 5106460055
SSNI-375 , 5215691290
SSNI-373 , 7324035631
SSNI-377 , 568922089
SSNI-376 , 5675136367
SSNI-379 , 6657108540
SSNI-378 , 10132066109
SSNI-380 , 7706564543
SSNI-384 , 5056405372
SSNI-385 , 7622126279
SSNI-386 , 6240177457
SSNI-388 , 5231670134
SSNI-389 , 4996081305
SSNI-390 , 5008998247
SSNI-391 , 5004068701
SSNI-393 , 10679477337
SSNI-394 , 5068080835
SSNI-395 , 7578631810
SSNI-396 , 6534421523
SSNI-397 , 6605007145
SSNI-399 , 6358644164
SSNI-398 , 6602857762
SSNI-002 , 6085427693
SSNI-001 , 7334559676
