start
orginal_choose: G:\My Drive\Video\Torrent_F\有码
root_to_compare: G:\Shared drives\Migration\Torrent_F\有码
root_to_remove: G:\Shared drives\Migration\To remove
root_to_remove1: G:\Shared drives\Migration\To remove1
235 : MIAA-275 (4.94, 'GB') < (5.1, 'GB')
236 : MIAA-024 (5.89, 'GB') < (12.15, 'GB')
237 : MIAA-105 (4.68, 'GB') < (4.96, 'GB')
238 : GG-100 (1.81, 'GB') < (4.78, 'GB')
239 : MDB-945 (1.59, 'GB') < (3.91, 'GB')
240 : JUC-785 (2.57, 'GB') < (4.45, 'GB')
241 : JUC-630 (6.13, 'GB') < (6.33, 'GB')
242 : JUC-965 (2.38, 'GB') < (4.96, 'GB')
243 : JUC-853 (1.02, 'GB') < (4.98, 'GB')
244 : JUC-699 (3.14, 'GB') < (4.96, 'GB')
245 : MIAE-286 (6.34, 'GB') < (6.87, 'GB')
246 : MIAE-354 (4.65, 'GB') < (5.19, 'GB')
247 : MIAE-268 (867.8, 'MB') < (4.38, 'GB')
248 : MIAE-358 (4.67, 'GB') < (8.11, 'GB')
249 : MIAE-241 (5.92, 'GB') < (6.22, 'GB')
250 : MIAE-321 (4.78, 'GB') < (5.02, 'GB')
251 : MIAE-291 (4.73, 'GB') < (8.23, 'GB')
252 : MIAE-285 (4.9, 'GB') < (5.14, 'GB')
253 : MXGS-837 (1.05, 'GB') < (7.0, 'GB')
254 : STAR-433 (7.19, 'GB') < (8.04, 'GB')
255 : STAR-394 (2.99, 'GB') < (8.0, 'GB')
256 : STAR-455 (1.18, 'GB') < (6.13, 'GB')
257 : STAR-930 (5.48, 'GB') < (6.53, 'GB')
258 : STAR-426 (1.28, 'GB') < (6.7, 'GB')
259 : STAR-544 (4.64, 'GB') < (4.94, 'GB')
260 : STAR-444 (2.41, 'GB') < (8.0, 'GB')
261 : STAR-979 (974.01, 'MB') < (5.41, 'GB')
262 : STAR-410 (1.34, 'GB') < (11.0, 'GB')
263 : STAR-833 (1.13, 'GB') < (3.51, 'GB')
264 : STAR-435 (1.52, 'GB') < (7.92, 'GB')
265 : STAR-542 (7.5, 'GB') < (8.0, 'GB')
266 : STAR-513 (5.45, 'GB') < (5.72, 'GB')
267 : STAR-395 (3.64, 'GB') < (5.81, 'GB')
268 : STAR-846 (2.69, 'GB') < (3.8, 'GB')
269 : STAR-389 (2.75, 'GB') < (5.4, 'GB')
270 : STAR-447 (2.9, 'GB') < (5.53, 'GB')
271 : STAR-953 (1.26, 'GB') < (5.88, 'GB')
272 : STAR-424 (6.35, 'GB') < (6.92, 'GB')
273 : STAR-551 (1.84, 'GB') < (4.78, 'GB')
274 : STAR-895 (1.72, 'GB') < (5.24, 'GB')
275 : STAR-874 (4.75, 'GB') < (5.04, 'GB')
276 : STAR-456 (1.81, 'GB') < (5.31, 'GB')
277 : STAR-813 (5.24, 'GB') < (5.55, 'GB')
278 : STAR-653 (3.77, 'GB') < (7.76, 'GB')
279 : STAR-418 (1.41, 'GB') < (7.87, 'GB')
280 : STAR-744 (4.36, 'GB') < (9.14, 'GB')
281 : STAR-469 (6.08, 'GB') < (6.27, 'GB')
282 : STAR-359 (1.68, 'GB') < (6.69, 'GB')
283 : STAR-777 (3.01, 'GB') < (3.46, 'GB')
284 : STAR-470 (1.72, 'GB') < (10.11, 'GB')
285 : STAR-369 (5.0, 'GB') < (7.51, 'GB')
286 : STAR-520 (6.13, 'GB') < (6.51, 'GB')
287 : STAR-700 (6.97, 'GB') < (7.45, 'GB')
288 : STAR-640 (8.64, 'GB') < (10.17, 'GB')
289 : TOMN-040 (4.89, 'GB') < (10.01, 'GB')
290 : JUNY-017 (6.9, 'GB') < (8.22, 'GB')
291 : IPZ-093 (4.38, 'GB') < (7.48, 'GB')
292 : IPZ-186 (7.04, 'GB') < (7.49, 'GB')
293 : IPZ-038 (5.29, 'GB') < (7.55, 'GB')
294 : IPZ-423 (1.76, 'GB') < (6.43, 'GB')
295 : IPZ-530 (794.13, 'MB') < (4.42, 'GB')
296 : IPZ-456 (6.34, 'GB') < (6.47, 'GB')
297 : IPZ-058 (6.2, 'GB') < (8.08, 'GB')
298 : IPZ-931 (5.79, 'GB') < (6.06, 'GB')
299 : IPZ-670 (6.39, 'GB') < (6.87, 'GB')
300 : IPZ-073 (6.98, 'GB') < (7.43, 'GB')
301 : IPZ-037 (7.39, 'GB') < (11.27, 'GB')
302 : IPZ-988 (10.04, 'GB') < (10.56, 'GB')
303 : IPZ-863 (6.11, 'GB') < (10.05, 'GB')
304 : IPZ-074 (6.0, 'GB') < (6.34, 'GB')
305 : IPZ-860 (7.09, 'GB') < (9.31, 'GB')
306 : IPZ-502 (7.21, 'GB') < (11.96, 'GB')
307 : IPZ-036 (4.77, 'GB') < (7.1, 'GB')
308 : IPZ-304 (4.59, 'GB') < (4.89, 'GB')
309 : IPZ-052 (6.07, 'GB') < (7.55, 'GB')
310 : IPZ-589 (524.41, 'MB') < (6.33, 'GB')
311 : IPZ-225 (1.08, 'GB') < (5.01, 'GB')
312 : IPZ-351 (4.37, 'GB') < (7.04, 'GB')
313 : IPZ-018 (5.98, 'GB') < (6.4, 'GB')
314 : IPZ-251 (1.58, 'GB') < (7.94, 'GB')
315 : IPZ-041 (4.81, 'GB') < (6.68, 'GB')
